ID,Name,Glottocode,Glottolog_Name
MiddleJapanese,"Middle Japanese",,
OldJapanese,"Old Japanese",oldj1239,Old Japanese
Aichi,"Aichi",gifu1238,Gifu-Aichi
Akita,"Akita",akit1240,Akita
Aomori,"Aomori",tsug1237,Tsugaru
Chiba,"Chiba",chib1248,Chiba
Fukushima,"Fukushima",fuku1243,Fukushima
Gifu,"Gifu",gifu1238,Gifu-Aichi
Gunma,"Gunma",gunm1237,Gunma
Hokkaido,"Hokkaido",hokk1243,Hokkaido
Ibaraki,"Ibaraki",ibar1242,Ibaraki
Iwate,"Iwate",kese1237,Kesen
Kanagawa,"Kanagawa",kana1290,Kanagawa
Miyagi,"Miyagi",send1240,Sendai
Nagano,"Nagano",naga1408,Nagano
Niigata,"Niigata",niig1237,Niigata
Saitama,"Saitama",chic1269,Chichibu
Shizuoka,"Shizuoka",shiz1237,Shizuoka
Tochigi,"Tochigi",toch1258,Tochigi
Tokyo,"Tokyo",toky1238,Tōkyō
Yamagata,"Yamagata",yama1262,Yamagata
Yamanashi,"Yamanashi",yama1263,Yamanashi
Hachijyo,"Hachijyo",hach1239,Hachijo
Fukuoka,"Fukuoka",chik1251,Chikuho-ben
Kagoshima,"Kagoshima",nort2935,Northern Amami-Oshima
Kumamoto,"Kumamoto",kuma1281,Kumamoto-ben
Miyazaki,"Miyazaki",miya1258,Miyazaki-ben
Nagasaki,"Nagasaki",naga1405,Nagasaki-ben
Oita,"Oita",oita1237,Ōita-ben
Saga,"Saga",saga1265,Saga-ben
Naze,"Naze",naze1238,Naze
Okinawa,"Okinawa",okin1244,Okinawa
Hateruma,"Hateruma",hate1238,Hateruma
Hirara,"Hirara",miya1260,Miyako-Jima
Ikema,"Ikema",ikem1235,Ikema-Jima
Irafu,"Irafu",irab1238,Irabu-Jima
Ishigaki,"Ishigaki",ishi1240,Ishigaki
Taketomi,"Taketomi",take1256,Taketomi
Tarama,"Tarama",tara1319,Tarama-Minna
Yonaguni,"Yonaguni",yona1241,Yonaguni
Ehime,"Ehime",iyob1237,Iyo-ben
Fukui,"Fukui",fuku1241,Fukui
Hiroshima,"Hiroshima",hiro1237,Hiroshima
Hyogo,"Hyogo",kobe1244,Kobe (Japonic)
Ishikawa,"Ishikawa",kana1289,Kanazawa
Kagawa,"Kagawa",kaga1258,Kagawa-ben
Kochi,"Kochi",hata1244,Hata-ben
Kyoto,"Kyoto",kyot1238,Kyoto
Mie,"Mie",miee1237,Mie
Nara,"Nara",,
Okayama,"Okayama",okay1237,Okayama
Osaka,"Osaka",osak1237,Ōsaka
Shiga,"Shiga",shig1237,Shiga
Shimane,"Shimane",izum1237,Izumo-ben
Tokushima,"Tokushima",toku1245,Tokushima-ben
Tottori,"Tottori",tott1237,Tottori
Toyama,"Toyama",toya1237,Toyama
Wakayama,"Wakayama",waka1279,Wakayama
Yamaguchi,"Yamaguchi",yama1261,Yamaguchi
