ID,Name,Concepticon_ID,Concepticon_Gloss
green,green,1425,GREEN
red,red,156,RED
toyawn,to yawn,1028,YAWN
legfoot,leg/foot,2098,FOOT OR LEG
head,head,1256,HEAD
new,new,1231,NEW
thick,thick,1244,THICK
warm,warm,1232,WARM
you,you,1213,YOU
heshe,he/she,2642,HE OR SHE
they,they,817,THEY
fatgrease,fat/grease,323,FAT (ORGANIC SUBSTANCE)
rain,rain,658,RAIN (PRECIPITATION)
towalk,to walk,1443,WALK
that,that,78,THAT
tosay,to say,1458,SAY
house,house,1252,HOUSE
tobreathe,to breathe,1407,BREATHE
tolivebealive,"to live, be alive",1422,BE ALIVE
stone,stone,857,STONE
painfulsick,"painful, sick",2103,PAINFUL OR SICK
when,when?,1238,WHEN
five,Five,493,FIVE
lightening,lightening,1654,LIGHTNING
dog,dog,2009,DOG
above,above,1741,ABOVE
toplant,to plant,1486,PLANT (SOMETHING)
thin,thin,2308,THIN
toshoot,to shoot,1172,SHOOT
sea,sea,1474,SEA
branch,branch,1531,BRANCH
tochoose,to choose,1750,CHOOSE
tail,tail,1220,TAIL
big,big,1202,BIG
tofear,to fear,1419,FEAR (BE AFRAID)
tofall,to fall,1280,FALL
husband,husband,1200,HUSBAND
manmale,man/male,2106,MALE PERSON
heavy,heavy,1210,HEAVY
tothink,to think,2271,THINK
toswim,to swim,1439,SWIM
womanfemale,woman/female,2105,FEMALE PERSON
mosquito,mosquito,1509,MOSQUITO
tobuy,to buy,1869,BUY
tosniffsmell,"to sniff, smell",1586,SMELL (PERCEIVE)
toscratch,to scratch,1436,SCRATCH
tohide,to hide,2486,HIDE
wind,wind,960,WIND
tocount,to count,1420,COUNT
shoulder,shoulder,1482,SHOULDER
tobite,to bite,1403,BITE
thunder,thunder,1150,THUNDER
tochew,to chew,321,CHEW
tohunt,to hunt,1435,HUNT
skin,skin,763,SKIN
dry,dry,1398,DRY
yellow,yellow,1424,YELLOW
tohear,to hear,1408,HEAR
dirty,dirty,1230,DIRTY
liver,liver,1224,LIVER
fog,fog,249,FOG
tocuthack,"to cut, hack",1432,CUT
sharp,sharp,1396,SHARP
toeat,to eat,1336,EAT
grass,grass,606,GRASS
rotten,rotten,1728,ROTTEN
mouth,mouth,674,MOUTH
neck,neck,1333,NECK
cloud,cloud,1489,CLOUD
spider,spider,843,SPIDER
tocome,to come,1446,COME
black,black,163,BLACK
hair,hair,1040,HAIR
smoke,smoke,778,SMOKE (EXHAUST)
nine,Nine,1483,NINE
fifty,Fifty,1717,FIFTY
child,child,2099,CHILD
this,this,1214,THIS
tokill,to kill,1417,KILL
fish,fish,227,FISH
tosplit,to split,1437,SPLIT
tostabpierce,"to stab, pierce",1434,STAB
cold,cold,1287,COLD
salt,salt,1274,SALT
below,below,1485,BELOW OR UNDER
tongue,tongue,1205,TONGUE
todiebedead,"to die, be dead",2101,BE DEAD OR DIE
tosqueeze,to squeeze,1414,SQUEEZE
louse,louse,1392,LOUSE
toknowbeknowledgeable,"to know, be knowledgeable",1410,KNOW (SOMETHING)
white,white,1335,WHITE
tosuck,to suck,1421,SUCK
sand,sand,671,SAND
tosit,to sit,1416,SIT
back,back,1291,BACK
narrow,narrow,1267,NARROW
onethousand,One Thousand,1843,THOUSAND
togrow,to grow,479,GROW
sky,sky,1732,SKY
topoundbeat,"to pound, beat",354,POUND
tostand,to stand,1442,STAND
egg,egg,744,EGG
blood,blood,946,BLOOD
small,small,1246,SMALL
near,near,1942,NEAR
father,father,1217,FATHER
moon,moon,1313,MOON
earthsoil,earth/soil,1228,EARTH (SOIL)
wife,wife,1199,WIFE
hand,hand,1277,HAND
at,at,1461,AT
and,and,1577,AND
how,how?,1239,HOW
ten,Ten,1515,TEN
far,far,1406,FAR
where,where?,1237,WHERE
year,year,1226,YEAR
what,what?,1236,WHAT
who,who?,1235,WHO
tofly,to fly,1441,FLY (MOVE THROUGH AIR)
bird,bird,937,BIRD
nonot,"no, not",2279,NO OR NOT
ininside,"in, inside",1460,IN
long,long,1203,LONG
toflow,to flow,2003,FLOW
tocry,to cry,1839,CRY
tohit,to hit,353,STRIKE
tothrow,to throw,1456,THROW
seven,Seven,1704,SEVEN
name,name,1405,NAME
rope,rope,1218,ROPE
thou,thou,1215,THOU
meatflesh,meat/flesh,2615,FLESH OR MEAT
twenty,Twenty,1710,TWENTY
dullblunt,"dull, blunt",379,BLUNT
tosew,to sew,1457,SEW
tosteal,to steal,713,STEAL
wet,wet,1726,WET
root,root,670,ROOT
rat,rat,1490,RAT
tosleep,to sleep,1585,SLEEP
toliedown,to lie down,215,LIE DOWN
toclimb,to climb,1102,CLIMB
todrink,to drink,1401,DRINK
leaf,leaf,628,LEAF
tooth,tooth,1380,TOOTH
ash,ash,646,ASH
tospit,to spit,1440,SPIT
tovomit,to vomit,1278,VOMIT
shyashamed,"shy, ashamed",487,SHY
towork,to work,1086,WORK (ACTIVITY)
flower,flower,239,FLOWER
nose,nose,1221,NOSE
feather,feather,1201,FEATHER
wing,wing,1257,WING
mother,mother,1216,MOTHER
woodsforest,woods/forest,420,FOREST
belly,belly,1251,BELLY
intestines,intestines,1991,INTESTINES
needle,needle,1382,NEEDLE (FOR SEWING)
fire,fire,221,FIRE
left,left,244,LEFT
personhumanbeing,person/human being,683,PERSON
one,One,1493,ONE
onehundred,One Hundred,1634,HUNDRED
toopenuncover,"to open, uncover",1156,OPEN
day,day,1225,DAY (NOT NIGHT)
wide,wide,1243,WIDE
toblow,to blow,175,BLOW (OF WIND)
thatchroof,thatch/roof,2100,THATCH OR ROOF
toswell,to swell,1573,SWELL
two,Two,1498,TWO
old,old,1229,OLD
snake,snake,730,SNAKE
stickwood,stick/wood,1295,STICK
other,other,197,OTHER
dust,dust,2,DUST
star,star,1430,STAR
bone,bone,1394,BONE
todig,to dig,1418,DIG
correcttrue,"correct, true",1725,CORRECT (RIGHT)
toturn,to turn,1588,TURN
fruit,fruit,1507,FRUIT
right,right,1019,RIGHT
short,short,1645,SHORT
water,water,948,WATER
lake,lake,624,LAKE
roadpath,road/path,2457,PATH OR ROAD
three,Three,492,THREE
ear,ear,1247,EAR
wormearthworm,worm (earthworm),1219,WORM
tosee,to see,1409,SEE
all,all,98,ALL
totieupfasten,"to tie up, fasten",1094,FASTEN
six,Six,1703,SIX
breast,breast,1402,BREAST
eye,eye,1248,EYE
if,if,1459,IF
tohold,to hold,1448,HOLD
toburn,to burn,2102,BURN
eight,Eight,1705,EIGHT
todream,to dream,1920,DREAM (SOMETHING)
good,good,1035,GOOD
four,Four,1500,FOUR
night,night,1233,NIGHT
tocook,to cook,1100,COOK (SOMETHING)
i,I,1209,I
we,we,1212,WE
tolaugh,to laugh,1355,LAUGH
badevil,"bad, evil",1292,BAD
