ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,AlternativeTranscription
MiddleJapanese-1_green-1,,MiddleJapanese,1_green,awoʃi,awoʃi,a w o ʃ i,,Muromachijidaigo2001,1-1,,^ a w o ʃ i $,default,aosi
MiddleJapanese-2_red-1,,MiddleJapanese,2_red,akaʃi,akaʃi,a k a ʃ i,,Muromachijidaigo2001,2-1,,^ a k a ʃ i $,default,akasi
MiddleJapanese-3_toyawn-1,,MiddleJapanese,3_toyawn,akubi,akubi,a k u b i,,Muromachijidaigo2001,3-1,,^ a k u b i $,default,akubi
MiddleJapanese-4_legfoot-1,,MiddleJapanese,4_legfoot,aʃi,aʃi,a ʃ i,,Muromachijidaigo2001,4-1,,^ a ʃ i $,default,aʃi
MiddleJapanese-5_head-1,,MiddleJapanese,5_head,atama,atama,a t a m a,,Muromachijidaigo2001,5-1,,^ a t a m a $,default,atama
MiddleJapanese-6_new-1,,MiddleJapanese,6_new,ataraʃi,ataraʃi,a t a r a ʃ i,,Muromachijidaigo2001,6-1,,^ a t a r a ʃ i $,default,ataraʃi
MiddleJapanese-7_thick-1,,MiddleJapanese,7_thick,atsuʃi,atsuʃi,a ts u ʃ i,,Muromachijidaigo2001,7-1,,^ a ts u ʃ i $,default,atsusi
MiddleJapanese-8_warm-1,,MiddleJapanese,8_warm,atatakaʃi,atatakaʃi,a t a t a k a ʃ i,,Muromachijidaigo2001,8-1,,^ a t a t a k a ʃ i $,default,atatakasi
MiddleJapanese-9_you-1,,MiddleJapanese,9_you,anata,anata,a n a t a,,Muromachijidaigo2001,9-1,,^ a n a t a $,default,anata
MiddleJapanese-10_heshe-1,,MiddleJapanese,10_heshe,anoçito,anoçito,a n o ç i t o,,Muromachijidaigo2001,10-1,,^ a n o ç i t o $,default,anoçito
MiddleJapanese-11_they-1,,MiddleJapanese,11_they,karera,karera,k a r e r a,,Muromachijidaigo2001,11-2,,^ k a r e r a $,default,karera
MiddleJapanese-12_fatgrease-1,,MiddleJapanese,12_fatgrease,abura,abura,a b u r a,,Muromachijidaigo2001,12-1,,^ a b u r a $,default,abura
MiddleJapanese-13_rain-1,,MiddleJapanese,13_rain,ame,ame,a m e,,Muromachijidaigo2001,13-1,,^ a m e $,default,ame
MiddleJapanese-14_towalk-1,,MiddleJapanese,14_towalk,ajumu,ajumu,a j u m u,,Muromachijidaigo2001,14-3,,^ a j u m u $,default,ajumu
MiddleJapanese-15_that-1,,MiddleJapanese,15_that,are,are,a r e,,Muromachijidaigo2001,15-1,,^ a r e $,default,are
MiddleJapanese-16_tosay-1,,MiddleJapanese,16_tosay,iFu,iFu,i β u,,Muromachijidaigo2001,16-1,,^ i F u $,default,iFu
MiddleJapanese-17_house-1,,MiddleJapanese,17_house,ihe,ihe,i h e,,Muromachijidaigo2001,17-2,,^ i h e $,default,ihe
MiddleJapanese-18_tobreathe-1,,MiddleJapanese,18_tobreathe,iki-,iki-,i k i,,Muromachijidaigo2001,18-1,,^ i k i -$,default,iki
MiddleJapanese-19_tolivebealive-1,,MiddleJapanese,19_tolivebealive,iku,iku,i k u,,Muromachijidaigo2001,19-1,,^ i k u $,default,iku
MiddleJapanese-20_stone-1,,MiddleJapanese,20_stone,iʃi,iʃi,i ʃ i,,Muromachijidaigo2001,20-1,,^ i ʃ i $,default,iʃi
MiddleJapanese-21_painfulsick-1,,MiddleJapanese,21_painfulsick,itamu,itamu,i t a m u,,Muromachijidaigo2001,21-1,,^ i t a m u $,default,itamu
MiddleJapanese-22_when-1,,MiddleJapanese,22_when,itsu,itsu,i ts u,,Muromachijidaigo2001,22-1,,^ i ts u $,default,itsu
MiddleJapanese-23_five-1,,MiddleJapanese,23_five,itsu,itsu,i ts u,,Muromachijidaigo2001,23-1,,^ i ts u $,default,itsu
MiddleJapanese-24_lightening-1,,MiddleJapanese,24_lightening,inabikari,inabikari,i n a b i k a r i,,Muromachijidaigo2001,24-1,,^ i n a b i k a r i $,default,inabikari
MiddleJapanese-25_dog-1,,MiddleJapanese,25_dog,inu,inu,i n u,,Muromachijidaigo2001,25-1,,^ i n u $,default,inu
MiddleJapanese-26_above-1,,MiddleJapanese,26_above,uhe,uhe,u h e,,Muromachijidaigo2001,26-1,,^ u h e $,default,uhe
MiddleJapanese-27_toplant-1,,MiddleJapanese,27_toplant,uu,uu,uː,,Muromachijidaigo2001,27-1,,^ uu $,default,uu
MiddleJapanese-28_thin-1,,MiddleJapanese,28_thin,usuʃi,usuʃi,u s u ʃ i,,Muromachijidaigo2001,28-1,,^ u s u ʃ i $,default,ususi
MiddleJapanese-29_toshoot-1,,MiddleJapanese,29_toshoot,utsu,utsu,u ts u,,Muromachijidaigo2001,29-1,,^ u ts u $,default,utsu
MiddleJapanese-30_sea-1,,MiddleJapanese,30_sea,umi,umi,u m i,,Muromachijidaigo2001,30-1,,^ u m i $,default,umi
MiddleJapanese-31_branch-1,,MiddleJapanese,31_branch,eda,eda,e d a,,Muromachijidaigo2001,31-1,,^ e d a $,default,eda
MiddleJapanese-32_tochoose-1,,MiddleJapanese,32_tochoose,erabu,erabu,e r a b u,,Muromachijidaigo2001,32-1,,^ e r a b u $,default,erabu
MiddleJapanese-33_tail-1,,MiddleJapanese,33_tail,wo,wo,w o,,Muromachijidaigo2001,33-1,,^ w o $,default,wo
MiddleJapanese-34_big-1,,MiddleJapanese,34_big,oFo,oFo,o β o,,Muromachijidaigo2001,34-1,,^ o F o $,default,oFo
MiddleJapanese-35_tofear-1,,MiddleJapanese,35_tofear,osoru,osoru,o s o r u,,Muromachijidaigo2001,35-1,,^ o s o r u $,default,osoru
MiddleJapanese-36_tofall-1,,MiddleJapanese,36_tofall,otʃiiru,otʃiiru,o tʃ iː r u,,Muromachijidaigo2001,36-1,,^ o tʃ ii r u $,default,otʃiiru
MiddleJapanese-37_husband-1,,MiddleJapanese,37_husband,wotsuto,wotsuto,w o ts u t o,,Muromachijidaigo2001,37-1,,^ w o ts u t o $,default,wotsuto
MiddleJapanese-38_manmale-1,,MiddleJapanese,38_manmale,wo,wo,w o,,Muromachijidaigo2001,38-1,,^ w o $,default,wo
